location,guests,bedrooms,beds,bathrooms,wifi,parking,kitchen,pool,gym,fireplace,security,price_per_night
Bhopal,8,3,5,3,1,0,1,1,1,0,0,13940
Dehradun,6,5,1,1,0,1,1,1,0,1,1,11246
Indore,8,1,6,2,0,1,0,1,1,1,0,12293
Udaipur,6,2,4,2,0,1,1,0,1,1,0,8814
Chennai,7,2,2,2,1,1,1,0,1,1,1,12259
Bhopal,3,5,6,4,1,1,1,1,0,0,0,13249
Shimla,2,1,2,3,0,1,0,0,1,1,1,6206
Shimla,3,5,5,1,0,1,0,1,1,0,0,10614
Delhi,4,2,6,3,0,1,1,1,1,0,1,14030
Chennai,1,4,6,1,1,0,0,1,1,0,1,12011
Jodhpur,10,2,2,4,0,1,0,1,0,0,0,10369
Kolkata,2,5,5,1,1,0,0,1,0,0,0,11061
Chandigarh,2,3,1,3,0,1,0,1,0,1,0,10249
Jodhpur,1,4,1,1,0,0,1,1,0,0,1,8035
Jodhpur,2,1,3,4,1,0,1,0,1,0,1,7091
Bangalore,3,4,5,4,1,1,0,0,0,0,1,11096
Hyderabad,4,2,5,1,0,0,1,0,0,1,1,9734
Lucknow,1,1,1,3,0,1,1,0,1,1,0,7831
Jodhpur,3,4,3,1,0,0,1,0,1,1,0,8107
Hyderabad,3,4,3,1,1,0,0,1,0,0,1,12061
Varanasi,3,2,6,2,0,0,0,1,0,1,0,9018
Ahmedabad,8,4,4,4,0,0,1,1,0,0,0,13334
Surat,2,1,5,4,1,1,1,1,1,1,0,12642
Ahmedabad,3,2,4,3,0,1,1,1,0,1,1,13112
Bangalore,6,2,2,2,1,0,0,1,0,0,1,10737
Mumbai,7,3,1,4,0,1,0,0,0,0,0,10226
Coimbatore,9,3,6,4,1,0,1,0,1,1,1,14330
Delhi,8,3,6,2,0,1,0,0,0,1,0,12445
Hyderabad,9,3,5,1,0,1,0,1,0,0,1,13426
Ahmedabad,7,4,4,2,0,0,0,1,0,0,1,12558
Nagpur,7,3,6,2,0,0,1,0,0,0,1,10687
Mysore,6,2,6,2,0,0,0,1,1,0,0,10969
Chandigarh,5,5,5,4,0,1,1,0,1,0,1,12091
Coimbatore,2,3,2,1,1,1,0,0,0,1,1,7950
Nagpur,4,4,2,2,0,0,0,1,0,1,1,11504
Kolkata,2,2,6,1,0,1,0,1,0,0,1,11406
Patna,8,1,5,1,0,0,1,0,1,1,1,9695
Delhi,6,3,2,4,0,1,1,0,1,0,0,12883
Chennai,5,2,2,2,1,1,0,0,0,0,0,7955
Pune,1,3,3,3,0,0,1,0,1,1,0,10394
Dehradun,10,3,6,2,1,0,0,0,1,1,1,12021
Pune,2,2,4,3,1,0,0,0,0,0,1,8227
Delhi,9,1,1,2,0,1,0,0,0,0,1,8460
Agra,1,2,2,2,1,0,1,0,0,1,1,5474
Kolkata,6,1,5,3,0,1,0,1,1,1,1,13342
Chandigarh,10,4,6,1,1,0,1,0,1,1,0,13135
Mumbai,1,5,2,4,1,0,1,0,1,0,0,10618
Mumbai,7,1,6,3,0,1,0,0,0,1,0,10482
Shimla,5,4,4,3,0,0,0,0,1,0,0,8962
Surat,2,1,4,1,1,0,1,1,1,1,0,9269
Nagpur,9,2,6,4,0,0,1,1,1,1,1,13535
Delhi,9,2,3,3,1,1,0,1,1,0,1,14346
Indore,5,5,1,4,1,1,1,0,0,0,1,10811
Chandigarh,9,2,5,4,0,0,1,0,1,1,0,11770
Jodhpur,5,2,4,4,1,0,0,1,1,1,1,11457
Varanasi,4,1,3,1,0,0,1,0,1,0,0,5936
Udaipur,8,4,3,4,0,1,0,1,1,1,0,13210
Varanasi,9,2,4,4,0,1,0,0,1,0,1,9695
Delhi,7,2,5,4,1,1,1,1,0,0,1,14107
Kolkata,2,4,3,2,1,1,0,1,1,1,0,12912
Varanasi,2,1,1,1,0,1,1,1,0,1,0,6176
Dehradun,6,3,3,2,0,0,0,1,1,0,0,9927
Jodhpur,1,4,6,4,1,1,1,0,1,1,0,10291
Chennai,9,2,1,4,1,0,1,1,0,1,1,14825
Udaipur,3,5,1,3,1,0,1,0,0,0,1,8047
Pune,6,4,5,1,1,1,0,0,1,0,1,12054
Coimbatore,2,5,3,2,0,0,1,0,1,0,0,9421
Pune,7,2,1,1,1,0,0,0,1,0,0,9052
Udaipur,1,5,1,4,1,1,0,0,1,0,1,9614
